"","Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","Latitude","Longitude","Rendimento.seco","Produtividade"
"163",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070344310978,-1.00015938086821,7,0
"164",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070312763431,-1.00015933527047,7,0
"165",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070267486859,-1.00015928265769,7.7,0
"166",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070141338401,-1.00015914605932,7.6,0
"167",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00068540717695,-1.00015642617347,7.7,0
"168",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00068501617098,-1.00015635972547,7.7,0
"169",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071065731599,-1.00015925109002,18.1,1
"170",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007103627053,-1.00015917061195,6.4,0
"171",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070928608267,-1.00015892528051,7.7,0
"172",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070709152515,-1.00015845546787,6.9,0
"173",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070661831194,-1.00015831536199,7.3,0
"174",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070624775346,-1.00015820312139,6.3,0
"175",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070559635504,-1.00015808406062,6.9,0
"176",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007050409346,-1.00015808406062,6.6,0
"177",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070455395065,-1.00015806301551,6.8,0
"178",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070393009373,-1.00015801040273,7.5,0
"179",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007032236123,-1.00015790537203,6.8,0
"180",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070282592959,-1.00015778962391,6.6,0
"181",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070231140413,-1.00015762847292,6.2,0
"182",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070176975445,-1.00015754078495,6.4,0
"183",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070128986452,-1.00015749518721,6.9,0
"184",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007007135793,-1.0001574004842,7.2,0
"185",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070014438811,-1.00015724634825,7.4,0
"186",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069969203969,-1.00015720425802,7.7,0
"187",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069906776548,-1.0001572182881,7.5,0
"188",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071157661818,-1.00015772648858,5,0
"189",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071116516473,-1.00015770544346,5.1,0
"190",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071078792951,-1.00015766686076,5.9,0
"191",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071049957826,-1.00015757936766,6.4,0
"192",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071023918581,-1.00015749869473,7,0
"193",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070997879336,-1.00015744257443,7.6,0
"194",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070901150217,-1.00015730246854,7.2,0
"195",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070872356821,-1.00015730948358,7.8,0
"196",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070835342702,-1.00015724634825,7.3,0
"197",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070685158018,-1.00015701153936,7.9,0
"198",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069499412591,-1.00015507324558,15.2,1
"199",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071422352413,-1.00015684688084,32,1
"1100",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071113762322,-1.00015624397736,26.8,1
"1101",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071096611473,-1.00015621240969,7.9,0
"1102",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071130913171,-1.00015621240969,4.2,0
"1103",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071132957919,-1.00015617382699,6.9,0
"1104",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071109631095,-1.00015624397736,7,0
"1105",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071065731599,-1.00015619837962,6.3,0
